Year,Value
1960,59184116488.9977
1961,49557050182.9631
1962,46685178504.3274
1963,50097303271.0232
1964,59062254890.1871
1965,69709153115.3147
1966,75879434776.1831
1967,72057028559.6741
1968,69993497892.3132
1969,78718820477.9257
1970,91506211306.3745
1971,98562023844.1813
1972,112159813640.376
1973,136769878359.668
1974,142254742077.706
1975,161162492226.686
1976,151627687364.405
1977,172349014326.931
1978,148382111520.192
1979,176856525405.729
1980,189649992463.987
1981,194369049090.197
1982,203549627211.606
1983,228950200773.115
1984,258082147252.256
1985,307479585852.339
1986,298805792971.544
1987,271349773463.863
1988,310722213686.031
1989,345957485871.286
1990,358973230048.399
1991,381454703832.753
1992,424934065934.066
1993,442874596387.119
1994,562261129868.774
1995,732032045217.766
1996,860844098049.121
1997,958159424835.34
1998,1025276902078.73
1999,1089447108705.89
2000,1205260678391.96
2001,1332234719889.82
2002,1461906487857.92
2003,1649928718134.59
2004,1941745602165.09
2005,2268598904116.28
2006,2729784031906.09
2007,3523094314820.9
2008,4558431073438.2
2009,5059419738267.41
2010,6039658508485.59
2011,7492432097810.11
2012,8461623162714.07
2013,9490602600148.49
2014,10354831729340.4
region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat
2,13,44,1,9,64.000,4,5,0.000,0,2,1
3,11,33,1,7,136.000,5,5,0.000,0,6,4
3,68,52,1,24,116.000,1,29,0.000,1,2,3
2,33,33,0,12,33.000,2,0,0.000,1,1,1
2,23,30,1,9,30.000,1,2,0.000,0,4,3
2,41,39,0,17,78.000,2,16,0.000,1,1,3
3,45,22,1,2,19.000,2,4,0.000,1,5,2
2,38,35,0,5,76.000,2,10,0.000,0,3,4
3,45,59,1,7,166.000,4,31,0.000,0,5,3
1,68,41,1,21,72.000,1,22,0.000,0,3,2
2,5,33,0,10,125.000,4,5,0.000,1,1,1
3,7,35,0,14,80.000,2,15,0.000,1,1,3
1,41,38,1,8,37.000,2,9,0.000,1,3,1
2,57,54,1,30,115.000,4,23,0.000,1,3,4
2,9,46,0,3,25.000,1,8,0.000,1,2,1
1,29,38,1,12,75.000,5,1,0.000,0,4,2
3,60,57,0,38,162.000,2,30,0.000,0,1,3
3,34,48,0,3,49.000,2,6,0.000,1,3,3
2,1,24,0,3,20.000,1,3,0.000,0,1,1
1,26,29,1,3,77.000,4,2,0.000,0,4,4
3,6,30,0,7,16.000,3,1,0.000,1,1,2
1,68,52,1,17,120.000,1,24,0.000,0,2,1
3,53,33,0,10,101.000,5,4,0.000,1,2,4
3,55,48,1,19,67.000,1,25,0.000,0,3,1
3,14,43,1,18,36.000,1,5,0.000,0,5,3
2,1,21,0,0,33.000,2,0,0.000,1,3,3
2,42,40,0,7,37.000,2,8,0.000,1,1,4
